seshat_long_name,seshat_polities,chronos_polities,seshat_century,chronos_century,pop,terr,popcap,geo,ecothreat1,ecothreat2,heterogeneity,genderstructure,complexity,socialstructure,moralizingreligion
Shuar - Colonial,EcJivaE,EcJvrc*,1700.0,1700.0,10000.0,2000.0,500.0,-0.1,0.05,0.2,0.1,0.2,0.0521015,0.1,0.0
Shuar - Ecuadorian,EcJivaL,EcJvrc*,1900.0,1900.0,29000.0,2000.0,500.0,-0.1,,,,0.2,0.060539076923076925,0.1,0.0
Ayyubid Sultanate,EgAyyub,EgAyye*,1200.0,1200.0,9000000.0,1500000.0,200000.0,0.1,0.7,0.30000000000000004,,0.2,0.66894,0.1,0.84615384615384615
Badarian,EgBadar,"EgBdrcl, EgBdrcm, EgBdrce",-4100.0,-4100.0,4000.0,5000.0,500.0,0.1,0.3,,0.1,0.06666666666666668,0.027397216666666668,0.16666666666666669,0.46153846153846156
Egypt - Dynasty I,EgDyn1*,EgPdyk*,-3000.0,-3000.0,908000.0,90000.0,20000.0,0.1,0.35000000000000003,0.15000000000000002,,0.2,0.23511553846153843,0.2,0.69230769230769229
Egypt - Dynasty II,EgDyn2*,EgEgyei,-2800.0,-2800.0,1100000.0,206000.0,20000.0,0.1,0.15000000000000002,0.30000000000000004,,0.2,0.2403298095238095,0.2,0.69230769230769229
Egypt - Inter-Occupation Period,EgIntOc,EgOcck*,-400.0,-400.0,2000000.0,500000.0,50000.0,0.1,0.25,,,0.2,0.540145,0.2,0.92307692307692313
Egypt - Mamluk Sultanate I,EgMamBh,EgMamke,1300.0,1300.0,6323000.0,2100000.0,185000.0,0.1,0.4,0.7,0.2,0.2,0.71463315384615378,0.15,0.84615384615384615
Egypt - Mamluk Sultanate III,EgMamBu,EgMamkl,1500.0,1500.0,5815000.0,2377000.0,258000.0,0.1,0.60000000000000009,1.3,0.1,0.2,0.71094046153846147,0.15,0.84615384615384615
Egypt - Middle Kingdom,EgMidKg,EgEgyem,-1900.0,-1900.0,1969000.0,403000.0,30000.0,0.1,0.49999999999999994,0.75,,0.2,0.5541121875,0.2,0.84615384615384615
Egypt - New Kingdom Ramesside Period,EgNKRam,EgEgyet,-1200.0,-1200.0,3000000.0,746000.0,300000.0,0.1,0.55,0.60000000000000009,0.1,0.2,0.559607,0.2,0.92307692307692313
Egypt - New Kingdom Thutmosid Period,EgNKThu,EgEgyel,-1400.0,-1400.0,3500000.0,567000.0,82000.0,0.1,0.05,0.2,,0.2,0.56166584615384618,0.2,0.92307692307692313
Naqada I,EgNaqa1,EgNaqce,-3700.0,-3700.0,19000.0,10000.0,1000.0,0.1,,,,0.2,0.0683388,0.2,0.46153846153846156
Naqada II,EgNaqa2,EgNaqcm,-3400.0,-3400.0,38000.0,10000.0,7000.0,0.1,,0.3,0.2,0.2,0.18575265000000002,0.2,0.61538461538461542
Egypt - Dynasty 0,EgNaqa3,EgNaqcl,-3200.0,-3200.0,181000.0,21000.0,15000.0,0.1,0.2,,,0.2,0.2014251875,0.2,0.69230769230769229
Egypt - Classic Old Kingdom,EgOldK1,EgEgyef,-2500.0,-2500.0,1500000.0,350000.0,50000.0,0.1,,0.30000000000000004,0.1,0.2,0.55187625000000007,0.2,0.69230769230769229
Egypt - Late Old Kingdom,EgOldK2,EgEgyee,-2300.0,-2300.0,1500000.0,350000.0,50000.0,0.1,0.1,0.30000000000000004,,0.2,0.562206090909091,0.2,0.84615384615384615
Ptolemaic Kingdom II,EgPtol2,EgPtlkl,-100.0,-100.0,1500000.0,833000.0,300000.0,0.1,0.54999999999999993,0.4,,0.2,0.720596,0.15,0.92307692307692313
Egypt - Period of the Regions,EgRegns,EgNomk*,-2100.0,-2100.0,1500000.0,300000.0,30000.0,0.1,0.6,,,0.2,0.542054,0.2,0.84615384615384615
Egypt - Saite Period,EgSaite,EgSaie*,-600.0,-600.0,2000000.0,408000.0,70000.0,0.1,0.55,,,0.2,0.53613107692307693,0.2,0.92307692307692313
Egypt - Thebes-Hyksos Period,EgThebH,EgHykk*,-1600.0,-1600.0,2000000.0,410000.0,30000.0,0.1,0.6,0.35,,0.2,0.554612,0.15,0.92307692307692313
Egypt - Thebes-Libyan Period,EgThebL,"EgThbkl, EgThbke",-900.0,-900.0,1500000.0,265000.0,120000.0,0.1,0.60000000000000009,,0.1,0.2,0.46691956250000005,0.2,0.92307692307692313
Egypt - Tulunid-Ikhshidid Period,EgTulIk,EgTulk*,900.0,900.0,6500000.0,800000.0,150000.0,0.1,0.35,,,0.2,0.53870075,0.17500000000000002,0.84615384615384615
Spanish Empire I,EsHabsb,SpHasee,1700.0,1600.0,36393000.0,7894000.0,807000.0,0.2,1.45,1.2,,0.2,0.814842947368421,0.15,0.84615384615384615
Chuuk State (Micronesia) early period,FmTrukE,PgAuscl,1800.0,700.0,2116000.0,247000.0,500.0,0.2,0.1,,,0.1,0.095930019999999991,0.15,0.69230769230769229
Atlantic Complex,FrAtlBA,"FrAtlct, FrAtlcl, FrAtlcm, FrAtlce",-1600.0,-1700.0,2451000.0,1379000.0,2000.0,0.2,,,0.5,0.2,0.13744885714285721,0.15,0.46153846153846156
Beaker Culture,FrBeakr,"FrBkrcl, FrBkrcm, FrBkrce",-2700.0,-2700.0,871000.0,935000.0,500.0,0.0,0.05,,0.5,0.2,0.1108758469387755,0.15,0.46153846153846156
French Kingdom - Early Bourbon,FrBurbE,FrBurke,1600.0,1600.0,20138000.0,1289000.0,327000.0,0.1,0.2,0.1,,0.2,0.75116025000000008,0.15,0.84615384615384615
