dataset,polity,avgtime,t_infomedia,t_techmilitary,t_warfare,t_communication,t_economy,t_infrastructure,t_politics,t_religion_moral,t_agriculturetech,t_alphabeth,SCALE,GOV,HIER
chronos,JpMrmke,1398,0.40,0.50,0.38,0.20,0.25,0.50,0.00,0.60,0.40,0.25,0.64281,0.350287,0.494714
chronos,JpEdoe*,1735,0.40,0.55,0.40,0.25,0.38,0.45,0.05,0.60,0.40,0.25,0.7155267308,0.898533,0.524826
chronos,JpAsue*,619,0.30,0.50,0.30,0.20,0.25,0.30,0.00,0.60,0.30,0.10,0.550311,0.806147,0.362742
chronos,JpYaykl,49,0.20,0.40,0.17,0.00,0.20,0.30,0.00,0.35,0.30,0.00,0.47335175,0.176101,0.092921
chronos,IdKedk*,1140,0.42,0.45,0.40,0.00,0.30,0.50,0.00,0.45,0.30,0.00,0.4341783684,0.538527,0.263467
chronos,MnMkhe*,1269,0.40,0.54,0.40,0.32,0.31,0.45,0.10,0.18,0.30,0.30,0.8598523939,0.613737,0.4531181212
chronos,MxEpok*,-203,0.15,0.10,0.20,0.00,0.10,0.40,0.00,0.32,0.40,0.14,0.322201325,0.159073,0.117155
chronos,MxTeoke,115,0.19,0.10,0.20,0.00,0.10,0.40,0.02,0.39,0.40,0.13,0.3722056667,0.526877,0.08911838462
chronos,MxTeokl,432,0.20,0.10,0.20,0.00,0.10,0.40,0.10,0.40,0.40,0.10,0.39234075,0.526877,0.078104
chronos,MxChok*,705,0.20,0.10,0.20,0.00,0.10,0.40,0.05,0.40,0.40,0.10,0.3650392727,0.526877,0.192195
chronos,MxTltc*,1178,0.20,0.10,0.20,0.00,0.10,0.40,0.05,0.40,0.40,0.10,0.4099965333,0.430427,0.231247
chronos,MxCuik*,-603,0.13,0.10,0.20,0.00,0.10,0.30,0.00,0.30,0.38,0.08,0.2652878,0.159073,0.108215
chronos,MxTlac*,-1141,0.10,0.10,0.20,0.00,0.10,0.23,0.05,0.19,0.23,0.01,0.22188325,0.159073,0.108215
chronos,PeLimce,347,0.05,0.10,0.10,0.00,0.15,0.30,0.00,0.10,0.30,0.00,0.07691176667,0,0.108215
chronos,PeLipkl,1317,0.15,0.30,0.20,0.05,0.25,0.37,0.00,0.35,0.30,0.00,0.4629975652,0.447561,0.278762
chronos,PeLimcl,560,0.05,0.10,0.10,0.00,0.15,0.30,0.00,0.10,0.30,0.00,0.1597077,0,0.131972
chronos,PeLimcf,122,0.00,0.10,0.10,0.00,0.10,0.30,0.00,0.10,0.30,0.00,0.0079733,0,0.0811151
chronos,PeLipke,1110,0.15,0.29,0.20,0.05,0.25,0.30,0.00,0.29,0.30,0.00,0.3800007,0.447561,0.255004
chronos,PeInce*,1473,0.20,0.30,0.20,0.10,0.15,0.40,0.00,0.40,0.30,0.00,0.6170072727,0.622837,0.39544
chronos,PeWriel,860,0.15,0.10,0.10,0.05,0.15,0.30,0.00,0.20,0.30,0.00,0.30777155,0.254927,0.233833
chronos,PgPapce,1669,0.10,0.10,0.20,0.00,0.00,0.05,0.00,0.20,0.10,0.00,0.2373292963,0,0.155252
chronos,InChrcl,-2928,0.05,0.15,0.10,0.00,0.10,0.30,0.02,0.25,0.20,0.06,0.221445,0,0
chronos,RuYakn*,1543,0.10,0.40,0.30,0.00,0.10,0.10,0.05,0.10,0.00,0.30,0.3528412857,0,0.053869
chronos,SdKste*,-707,0.40,0.40,0.35,0.10,0.20,0.45,0.05,0.40,0.35,0.10,0.59952,0.430427,0.308873
chronos,SyUmmk*,712,0.40,0.50,0.40,0.20,0.30,0.50,0.10,0.50,0.30,0.20,0.744235,0.622837,0.417088
chronos,TnFtmk*,1058,0.40,0.50,0.40,0.30,0.30,0.50,0.00,0.50,0.40,0.20,0.6554677241,0.913509,0.4790152069
chronos,TrKltcm,-2003,0.10,0.30,0.20,0.00,0.20,0.40,0.05,0.10,0.20,0.15,0.3530021667,0.080247,0.185841
chronos,TrHatkl,-1264,0.30,0.37,0.31,0.10,0.20,0.40,0.00,0.40,0.20,0.15,0.5342730625,0.833262,0.341093
chronos,TrKaxcl,-2488,0.10,0.30,0.25,0.00,0.20,0.35,0.00,0.10,0.20,0.00,0.3330243529,0.080247,0.116678
chronos,TrByzel,993,0.40,0.55,0.40,0.20,0.30,0.50,0.05,0.50,0.30,0.30,0.675994619,0.555695,0.5949666667
chronos,TrByzee,744,0.40,0.54,0.40,0.20,0.30,0.50,0.02,0.50,0.30,0.30,0.6534952,0.913509,0.58374384
chronos,TrCpdkl,-89,0.40,0.41,0.31,0.06,0.30,0.41,0.01,0.40,0.30,0.30,0.541613,0.430427,0.30992725
chronos,TrGvrke,-5453,0.10,0.15,0.15,0.00,0.10,0.25,0.05,0.25,0.20,0.00,0.2154163667,0.176101,0.123032
chronos,TrYzgcm,-3853,0.10,0.15,0.10,0.00,0.15,0.30,0.10,0.15,0.20,0.00,0.186088,0.080247,0.131972
chronos,TrRomet,509,0.40,0.50,0.40,0.20,0.30,0.50,0.00,0.50,0.30,0.30,0.728878,0.913509,0.5950180909
chronos,TrHatke,-1591,0.30,0.30,0.30,0.10,0.20,0.40,0.00,0.40,0.20,0.15,0.4526517,0.635942,0.257113
chronos,TrHatkm,-1438,0.30,0.30,0.30,0.10,0.20,0.40,0.00,0.40,0.20,0.15,0.43252625,0.555695,0.341093
chronos,TrLydk*,-610,0.41,0.40,0.30,0.00,0.28,0.40,0.00,0.39,0.20,0.30,0.5495670714,0.430427,0.356388
chronos,TrCpdke,-218,0.40,0.40,0.30,0.05,0.30,0.40,0.00,0.40,0.30,0.30,0.499242125,0.430427,0.263467
chronos,TrCthcf,-6678,0.10,0.10,0.10,0.00,0.10,0.20,0.15,0.20,0.20,0.00,0.2371871,0,0.039052
chronos,TrGbkcl,-8278,0.10,0.10,0.10,0.00,0.05,0.20,0.05,0.15,0.15,0.00,0.0646313,0,0
chronos,TrCthcm,-6228,0.10,0.10,0.10,0.00,0.10,0.20,0.15,0.20,0.20,0.00,0.2513732333,0,0.039052
chronos,TrNhtk*,-1066,0.16,0.40,0.30,0.00,0.20,0.40,0.00,0.40,0.20,0.15,0.4561287647,0.459245,0.23971
chronos,TrOttel,1755,0.40,0.60,0.40,0.20,0.30,0.50,0.15,0.50,0.30,0.20,0.793212,1,0.656321
chronos,TrOttem,1616,0.40,0.60,0.40,0.20,0.30,0.50,0.15,0.50,0.30,0.20,0.7891983571,1,0.6456643571
chronos,TrOttee,1485,0.40,0.60,0.40,0.20,0.30,0.50,0.15,0.50,0.30,0.20,0.7138914,0.95788992,0.52148772
chronos,TrOttef,1384,0.45,0.57,0.40,0.20,0.30,0.40,0.10,0.50,0.30,0.20,0.5155607143,0.736812,0.303961
chronos,TrPhrk*,-761,0.25,0.40,0.30,0.00,0.22,0.40,0.00,0.35,0.20,0.30,0.4781447143,0,0.269821
chronos,ItRomel,359,0.40,0.50,0.40,0.20,0.30,0.50,0.00,0.46,0.30,0.30,0.799116,0.627854,0.649966
chronos,TrTblk*,-867,0.20,0.40,0.30,0.15,0.20,0.40,0.00,0.40,0.20,0.15,0.455677625,0,0.23971
chronos,UsIllc*,1689,0.10,0.60,0.25,0.00,0.20,0.05,0.05,0.20,0.20,0.00,0.2893795455,0.080247,0.053869
chronos,UsCahke,1122,0.15,0.20,0.20,0.10,0.15,0.25,0.00,0.30,0.30,0.00,0.3274552,0.159073,0.201136
